S.No.,Rule,Support,Lift,Confidence
1,KS MALBEC  , CLOS DU BOIS CHARDONNAY,1,1,1
2,KS CHARDONNAY 1.5L  , CLOS DU BOIS CHARDONNAY,1,1,1
3,LA CARRAIA UMBRIA  , CLOS DU BOIS CHARDONNAY,1,1,1
4,CLOS DU BOIS CHARDONNAY  , CLOS DU BOIS CHARDONNAY,1,1,1
5,CLOS DU BOIS CHARDONNAY  , LA CARRAIA UMBRIA,1,1,1
6,LA CARRAIA UMBRIA  , LA CARRAIA UMBRIA,1,1,1
7,KS MALBEC  , LA CARRAIA UMBRIA,1,1,1
8,KS CHARDONNAY 1.5L  , LA CARRAIA UMBRIA,1,1,1
9,KS CHARDONNAY 1.5L  , KS MALBEC,1,1,1
10,KS MALBEC  , KS MALBEC,1,1,1
11,LA CARRAIA UMBRIA  , KS MALBEC,1,1,1
12,CLOS DU BOIS CHARDONNAY  , KS MALBEC,1,1,1
13,KS CHARDONNAY 1.5L  , KS CHARDONNAY 1.5L,1,1,1
14,LA CARRAIA UMBRIA  , KS CHARDONNAY 1.5L,1,1,1
15,KS MALBEC  , KS CHARDONNAY 1.5L,1,1,1
16,CLOS DU BOIS CHARDONNAY  , KS CHARDONNAY 1.5L,1,1,1